filename,algo,SPARSE,best_fuse,best_swap,init_cluster_size,nr_nodes_shaking1,nr_nodes_shaking2,max_iter,vnd_grasp,time,obj_val
test/heur002_n_100_m_3274.txt,grasp,false,false,false,false,100,20,50,true,1.1093120574951172,4747,
test/heur003_n_120_m_2588.txt,grasp,false,false,false,false,100,20,50,true,73.96230101585388,4244,
test/heur004_n_140_m_3014.txt,grasp,false,false,false,false,100,20,50,true,213.07407903671265,5056,
test/heur011_n_250_m_6574.txt,grasp,false,false,false,false,100,50,150,true,1022.2637820243835,5174,
test/heur012_n_250_m_20035.txt,grasp,false,false,false,false,100,50,150,true,105.02164816856384,22447,
test/heur013_n_250_m_22395.txt,grasp,false,false,false,false,100,50,150,true,57.334115982055664,17012,
test/heur021_n_320_m_13507.txt,grasp,false,false,false,false,100,50,150,true,5246.367845058441,13245,
tuning/heur052_n_300_m_26628.txt,grasp,false,false,false,false,100,50,150,true,793.2960910797119,32484,
tuning/heur053_n_300_m_39861.txt,grasp,false,false,false,false,100,50,150,true,29.53068995475769,13637,
test/heur018_n_300_m_25919.txt,grasp,false,false,false,false,100,50,150,true,122.26609802246094,8594,
test/heur019_n_300_m_28765.txt,grasp,false,false,false,false,100,50,150,true,105.0677638053894,19271,
test/heur002_n_100_m_3274.txt,gvns,false,false,false,false,100,20,50,true,3.0038270950317383,2119,
test/heur003_n_120_m_2588.txt,gvns,false,false,false,false,100,20,50,true,17.91233491897583,4131,
test/heur004_n_140_m_3014.txt,gvns,false,false,false,false,100,20,50,true,52.476097106933594,5044,
test/heur011_n_250_m_6574.txt,gvns,false,false,false,false,100,50,150,true,780.2082090377808,5156,
test/heur012_n_250_m_20035.txt,gvns,false,false,false,false,100,50,150,true,354.2315981388092,19399,
test/heur013_n_250_m_22395.txt,gvns,false,false,false,false,100,50,150,true,56.63474106788635,16969,
test/heur021_n_320_m_13507.txt,gvns,false,false,false,false,100,50,150,true,2039.654783964157,13245,
tuning/heur052_n_300_m_26628.txt,gvns,false,false,false,false,100,50,150,true,605.9001309871674,32444,
tuning/heur053_n_300_m_39861.txt,gvns,false,false,false,false,100,50,150,true,45.76928210258484,11418,
test/heur018_n_300_m_25919.txt,gvns,false,false,false,false,100,50,150,true,142.87578701972961,8594,
test/heur019_n_300_m_28765.txt,gvns,false,false,false,false,100,50,150,true,78.9083411693573,19271,
test/heur002_n_100_m_3274.txt,vnd,false,false,false,false,100,10,20,true,2.6385278701782227,2119,
test/heur003_n_120_m_2588.txt,vnd,false,false,false,false,100,10,20,1, 1.2247321605682373,4201,
test/heur004_n_140_m_3014.txt,vnd,false,false,false,false,100,10,20,1, 2.362293004989624,5142,
test/heur011_n_250_m_6574.txt,vnd,false,false,false,false,100,10,20,1, 22.710201025009155,5243,
test/heur012_n_250_m_20035.txt,vnd,false,false,false,false,100,10,20,1, 1.3028628826141357,21755,
test/heur013_n_250_m_22395.txt,vnd,false,false,false,false,100,10,20,1, 1.139798879623413,17012,
test/heur021_n_320_m_13507.txt,vnd,false,false,false,false,100,10,20,1, 75.72305917739868,13245,
tuning/heur053_n_300_m_39861.txt,vnd,false,false,false,false,100,10,20,1, 0.8034019470214844,13637,
test/heur018_n_300_m_25919.txt,vnd,false,false,false,false,100,10,20,1, 3.4972238540649414,8594,
test/heur019_n_300_m_28765.txt,vnd,false,false,false,false,100,10,20,1, 2.0498850345611572,19271,
tuning/heur052_n_300_m_26628.txt,vnd,false,false,false,false,100,10,20,1, 2.8441100120544434,33431,
