filename,algo,SPARSE,best_fuse,best_swap,init_cluster_size,nr_nodes_shaking1,nr_nodes_shaking2,max_iter,vnd_grasp,time,obj_val
../data/datasets/inst_test/heur002_n_100_m_3274.txt,sns,false,false,false,false,100,10,20,true,0.5556838512420654,2119,
../data/datasets/inst_test/heur003_n_120_m_2588.txt,sns,false,false,false,false,100,10,20,true,1.4069631099700928,4143,
../data/datasets/inst_test/heur004_n_140_m_3014.txt,sns,false,false,false,false,100,10,20,true,2.0101959705352783,5142,
../data/datasets/inst_test/heur005_n_160_m_4015.txt,sns,false,false,false,false,100,10,20,true,4.77045202255249,6782,
../data/datasets/inst_test/heur006_n_180_m_6067.txt,sns,false,false,false,false,100,10,20,true,11.699788093566895,9709,
../data/datasets/inst_test/heur007_n_200_m_6731.txt,sns,false,false,false,false,100,10,20,true,12.14174509048462,12144,
../data/datasets/inst_test/heur008_n_250_m_1045.txt,sns,false,false,false,false,100,10,20,true,302.95338892936707,1047,
../data/datasets/inst_test/heur009_n_250_m_1450.txt,sns,false,false,false,false,100,10,20,true,413.99136304855347,1749,
../data/datasets/inst_test/heur010_n_250_m_4507.txt,sns,false,false,false,false,100,10,20,true,46.79240298271179,4016,
../data/datasets/inst_test/heur011_n_250_m_6574.txt,sns,false,false,false,false,100,10,20,true,28.645751953125,5243,
../data/datasets/inst_test/heur012_n_250_m_20035.txt,sns,false,false,false,false,100,10,20,true,1.7523119449615479,21755,
../data/datasets/inst_test/heur013_n_250_m_22395.txt,sns,false,false,false,false,100,10,20,true,1.4696269035339355,17012,
../data/datasets/inst_test/heur014_n_300_m_14191.txt,sns,false,false,false,false,100,10,20,true,201.0242211818695,28230,
../data/datasets/inst_test/heur015_n_300_m_15035.txt,sns,false,false,false,false,100,10,20,true,81.43096995353699,22386,
../data/datasets/inst_test/heur016_n_300_m_15456.txt,sns,false,false,false,false,100,10,20,true,69.52456498146057,27884,
../data/datasets/inst_test/heur017_n_300_m_15641.txt,sns,false,false,false,false,100,10,20,true,14.697187900543213,19626,
../data/datasets/inst_test/heur018_n_300_m_25919.txt,sns,false,false,false,false,100,10,20,true,3.713980197906494,8594,
../data/datasets/inst_test/heur019_n_300_m_28765.txt,sns,false,false,false,false,100,10,20,true,2.1218388080596924,19271,
../data/datasets/inst_test/heur020_n_320_m_5905.txt,sns,false,false,false,false,100,10,20,true,311.56719493865967,4014,
../data/datasets/inst_test/heur021_n_320_m_13507.txt,sns,false,false,false,false,100,10,20,true,132.30602598190308,13245,
../data/datasets/inst_test/heur022_n_322_m_14226.txt,sns,false,false,false,false,100,10,20,true,1611.5696241855621,28963,
../data/datasets/inst_test/heur023_n_329_m_16183.txt,sns,false,false,false,false,100,10,20,true,472.8322329521179,14429,
../data/datasets/inst_test/heur024_n_329_m_27115.txt,sns,false,false,false,false,100,10,20,true,324.9309871196747,15263,
../data/datasets/inst_test/heur025_n_329_m_32168.txt,sns,false,false,false,false,100,10,20,true,131.7604579925537,14204,
../data/datasets/inst_test/heur026_n_330_m_1370.txt,sns,false,false,false,false,100,10,20,true,1881.5039410591125,1882,
../data/datasets/inst_test/heur027_n_330_m_2256.txt,sns,false,false,false,false,100,10,20,true,1309.3141520023346,3139,
