filename,algo,SPARSE,best_fuse,best_swap,init_cluster_size,nr_nodes_shaking1,nr_nodes_shaking2,max_iter,vnd_grasp,time,obj_val
../data/datasets/inst_competition/heur049_n_300_m_17695.txt,vnd,false,false,false,false,100,10,20,true,16.525726079940796,18464,
../data/datasets/inst_competition/heur050_n_300_m_19207.txt,vnd,false,false,false,false,100,10,20,true,44.202284812927246,31434,
../data/datasets/inst_competition/heur051_n_300_m_20122.txt,vnd,false,false,false,false,100,10,20,true,5.473039865493774,6692,
../data/datasets/inst_competition/heur049_n_300_m_17695.txt,vnd,false,false,false,true,100,10,20,true,32.9903039932251,18464,
../data/datasets/inst_competition/heur050_n_300_m_19207.txt,vnd,false,false,false,true,100,10,20,true,67.1937210559845,31436,
../data/datasets/inst_competition/heur051_n_300_m_20122.txt,vnd,false,false,false,true,100,10,20,true,6.316350936889648,6692,
../data/datasets/inst_competition/heur049_n_300_m_17695.txt,vnd,false,false,true,false,100,10,20,true,36.57724380493164,18464,
../data/datasets/inst_competition/heur050_n_300_m_19207.txt,vnd,false,false,true,false,100,10,20,true,631.1123790740967,31441,
../data/datasets/inst_competition/heur051_n_300_m_20122.txt,vnd,false,false,true,false,100,10,20,true,49.36565399169922,6692,
../data/datasets/inst_competition/heur049_n_300_m_17695.txt,vnd,false,false,true,true,100,10,20,true,35.43491005897522,18464,
../data/datasets/inst_competition/heur050_n_300_m_19207.txt,vnd,false,false,true,true,100,10,20,true,347.4643518924713,31472,
../data/datasets/inst_competition/heur051_n_300_m_20122.txt,vnd,false,false,true,true,100,10,20,true,46.19940400123596,6692,
../data/datasets/inst_competition/heur049_n_300_m_17695.txt,vnd,false,false,false,false,1,10,20,true,8.91474199295044,18456,
../data/datasets/inst_competition/heur050_n_300_m_19207.txt,vnd,false,false,false,false,1,10,20,true,24.533177137374878,31434,
../data/datasets/inst_competition/heur051_n_300_m_20122.txt,vnd,false,false,false,false,1,10,20,true,3.0273830890655518,6692,
../data/datasets/inst_competition/heur049_n_300_m_17695.txt,vnd,false,false,false,true,1,10,20,true,22.09619116783142,18456,
../data/datasets/inst_competition/heur050_n_300_m_19207.txt,vnd,false,false,false,true,1,10,20,true,43.21742296218872,31436,
../data/datasets/inst_competition/heur051_n_300_m_20122.txt,vnd,false,false,false,true,1,10,20,true,3.363558053970337,6692,
../data/datasets/inst_competition/heur049_n_300_m_17695.txt,vnd,false,false,true,false,1,10,20,true,22.48642086982727,18456,
../data/datasets/inst_competition/heur050_n_300_m_19207.txt,vnd,false,false,true,false,1,10,20,true,376.1541509628296,31441,
../data/datasets/inst_competition/heur051_n_300_m_20122.txt,vnd,false,false,true,false,1,10,20,true,47.847941875457764,6692,
../data/datasets/inst_competition/heur049_n_300_m_17695.txt,vnd,false,false,true,true,1,10,20,true,32.901978969573975,18456,
../data/datasets/inst_competition/heur050_n_300_m_19207.txt,vnd,false,false,true,true,1,10,20,true,425.1215159893036,31472,
../data/datasets/inst_competition/heur051_n_300_m_20122.txt,vnd,false,false,true,true,1,10,20,true,58.77083492279053,6692,
../data/datasets/inst_competition/heur049_n_300_m_17695.txt,vnd,false,false,false,true,1,10,20,true,20.262875080108643,18456,
../data/datasets/inst_competition/heur050_n_300_m_19207.txt,vnd,false,false,false,true,1,10,20,true,36.35384702682495,31436,
../data/datasets/inst_competition/heur051_n_300_m_20122.txt,vnd,false,false,false,true,1,10,20,true,2.840941905975342,6692,
../data/datasets/inst_competition/heur049_n_300_m_17695.txt,vnd,false,false,true,false,1,10,20,true,19.99596905708313,18456,
../data/datasets/inst_competition/heur050_n_300_m_19207.txt,vnd,false,false,true,false,1,10,20,true,379.2366900444031,31441,
../data/datasets/inst_competition/heur051_n_300_m_20122.txt,vnd,false,false,true,false,1,10,20,true,51.048277854919434,6692,
../data/datasets/inst_competition/heur049_n_300_m_17695.txt,vnd,false,false,true,true,1,10,20,true,35.156145095825195,18456,
../data/datasets/inst_competition/heur050_n_300_m_19207.txt,vnd,false,false,true,true,1,10,20,true,458.5132930278778,31472,
../data/datasets/inst_competition/heur051_n_300_m_20122.txt,vnd,false,false,true,true,1,10,20,true,85.14976000785828,6692,
../data/datasets/inst_competition/heur049_n_300_m_17695.txt,vnd,false,false,false,true,1,10,20,true,37.77208399772644,18456,
../data/datasets/inst_competition/heur050_n_300_m_19207.txt,vnd,false,false,false,true,1,10,20,true,73.99198317527771,31436,
../data/datasets/inst_competition/heur051_n_300_m_20122.txt,vnd,false,false,false,true,1,10,20,true,5.178412914276123,6692,
../data/datasets/inst_competition/heur050_n_300_m_19207.txt,vnd,false,false,false,false,100,10,20,true,88.40635299682617,31434,

