filename,algo,SPARSE,best_fuse,best_swap,init_cluster_size,nr_nodes_shaking1,nr_nodes_shaking2,max_iter,vnd_grasp,time,obj_val
../data/datasets/inst_test/heur002_n_100_m_3274.txt,gvns,false,false,false,false,100,20,50,true,3.0038270950317383,2119,
../data/datasets/inst_test/heur003_n_120_m_2588.txt,gvns,false,false,false,false,100,20,50,true,17.91233491897583,4131,
../data/datasets/inst_test/heur004_n_140_m_3014.txt,gvns,false,false,false,false,100,20,50,true,52.476097106933594,5044,
../data/datasets/inst_test/heur011_n_250_m_6574.txt,gvns,false,false,false,false,100,50,150,true,780.2082090377808,5156,
../data/datasets/inst_test/heur012_n_250_m_20035.txt,gvns,false,false,false,false,100,50,150,true,354.2315981388092,19399,
../data/datasets/inst_test/heur013_n_250_m_22395.txt,gvns,false,false,false,false,100,50,150,true,56.63474106788635,16969,
../data/datasets/inst_test/heur011_n_250_m_6574.txt,gvns,false,false,false,false,100,50,150,true,1053.972942829132,5156,
../data/datasets/inst_test/heur012_n_250_m_20035.txt,gvns,false,false,false,false,100,50,150,true,486.482577085495,19399,
../data/datasets/inst_test/heur013_n_250_m_22395.txt,gvns,false,false,false,false,100,50,150,true,199.26539707183838,16969,
../data/datasets/inst_test/heur021_n_320_m_13507.txt,gvns,false,false,false,false,100,50,150,true,2039.654783964157,13245,
