file; obj_val 
0;4631
1;10850
2;4073
3;63155
4;43967
5;37555
6;75955
7;6669
8;15723
9;41414
0;4587
1;11167
2;3921
3;62852
4;44292
5;37559
6;71191
7;6670
8;15264
9;47456
0;6226
1;11013
2;4052
3;62982
4;43578
5;37073
6;79009
7;6659
8;15809
9;48478
0;5699
1;11176
2;4056
3;64323
4;44228
5;38490
6;69079
7;6668
8;15256
9;50389
0;4558
1;10986
2;3994
3;60999
4;44774
5;38853
6;75122
7;6667
8;15637
9;50567
0;5629
1;11224
2;3965
3;64165
4;44651
5;38390
6;78898
7;6653
8;15143
9;49395
0;5907
1;11153
2;4021
3;62922
4;44537
5;37049
6;64339
7;6670
8;15610
9;49635
0;6193
1;11105
2;4110
3;28495
4;44624
5;37706
6;74798
7;6662
8;15715
9;41658
0;4574
1;10910
2;3948
3;61636
4;44656
5;37806
6;56958
7;6663
8;14876
9;51060
0;4573
1;10945
2;4072
3;64909
4;44143
5;38517
6;79073
7;6647
8;15188
9;47684
